,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACRE,10523,7271,15993,6198,8549,5699,3511,8661,3191,4720,4980,4398,5779,7684,6295,6626,6802,9193,8828,11840,6562,8631
ALAGOAS,373,233,292,268,262,409,360,299,267,377,201,165,460,388,129,201,232,159,173,140,227,222
AMAPÁ,2516,3413,2020,1665,1484,2153,2456,1000,1396,2518,1529,1848,2936,2595,1946,1206,1277,750,676,990,2552,1963
AMAZONAS,10191,8083,15644,11697,11293,6701,9280,12139,5028,9114,6512,9007,13419,11173,11685,11446,12676,16729,14848,21217,19601,25447
BAHIA,19584,18983,18447,10218,29468,20781,8956,17063,13136,16896,7231,7190,16513,6311,6450,4956,7371,7912,14359,9820,11917,8719
CEARÁ,11626,10582,8524,6167,7527,7631,5447,4934,4798,4308,2831,2327,3158,4316,3486,3034,4304,3979,4379,4136,6808,4679
DISTRITO FEDERAL,161,312,140,140,485,201,99,613,270,169,105,241,155,229,287,88,213,196,259,251,89,346
ESPÍRITO SANTO,976,267,199,431,757,412,239,295,364,384,275,296,940,599,187,205,622,401,549,474,543,649
GOIÁS,6874,9012,6128,4387,12639,5240,2920,13419,5766,6031,3050,5897,6107,4912,6428,3110,7160,6008,6020,4796,3160,6302
MARANHÃO,34548,33585,33691,23302,44765,22122,19132,36277,19315,34299,17455,24675,28436,21789,25576,13892,18521,16817,16077,20224,21113,20420
MATO GROSSO,70560,97012,72104,43479,79968,29448,15059,59013,17371,27953,18554,24955,27741,27305,30911,18032,31169,47708,22520,29039,21723,50150
MATO GROSSO DO SUL,5612,8616,12904,5244,11139,4830,6313,7356,3731,7428,3615,2214,4617,6373,5737,2380,11653,12080,9377,2368,4529,12991
MINAS GERAIS,19426,13229,13702,8832,22514,11888,4936,13766,11766,10108,5387,11337,9490,6482,8383,4627,9999,8737,12110,7790,6498,11701
PARANÁ,10866,7132,5023,5880,4998,3662,3025,3398,3388,2668,2531,2233,2087,4151,3592,2511,3314,3519,3698,1771,1439,2677
PARAÍBA,1562,1108,1004,1014,987,867,1056,956,942,548,306,395,540,708,363,759,1184,910,907,800,951,772
PARÁ,53040,74214,71477,55840,68491,48449,41664,57196,26563,37221,24046,35526,43164,29724,49770,22080,30165,38603,22876,41421,41715,53675
PERNAMBUCO,2770,2003,1811,1759,2157,1620,1714,1919,1722,1185,696,593,950,874,563,722,840,1017,1192,1155,1834,1704
PIAUÍ,10858,11186,11874,7867,17978,6656,6541,19192,11163,14537,6484,9210,13839,8303,7657,9431,10894,9317,12745,10866,12957,9686
RIO DE JANEIRO,1111,750,687,1172,1369,590,422,1137,1101,551,392,1283,542,677,959,246,712,693,502,747,404,1196
RIO GRANDE DO NORTE,1547,825,1001,734,774,597,659,628,464,432,250,317,402,378,351,456,730,664,563,411,579,477
RIO GRANDE DO SUL,6132,4729,2867,4116,2822,2360,2988,2515,1979,2322,1547,2104,1278,3527,2218,1615,3196,3612,2445,1635,1825,1554
RONDÔNIA,30557,40881,41649,25702,27500,11560,5401,16970,6080,8312,4613,7334,13113,11474,11313,10255,11230,11145,10030,12460,7417,10659
RORAIMA,3987,2221,1461,2189,3244,1950,2359,1918,1475,1376,1395,2519,2452,3870,1565,2383,4784,1930,989,1223,2659,5124
SANTA CATARINA,7648,5030,3582,4986,2689,2245,2121,2163,1772,1820,1663,1180,906,2561,2005,1417,1804,2425,2351,1360,1341,1791
SERGIPE,468,288,293,226,191,313,253,165,231,251,174,89,241,134,77,140,81,77,132,85,151,134
SÃO PAULO,5597,4333,3832,5367,4476,2796,1763,7291,4183,2662,2388,4484,1808,3186,3902,3019,3074,6123,5469,1599,1666,8675
TOCANTINS,12124,15147,16214,10299,25389,10753,6428,29100,10637,19044,9935,14075,15705,14494,15673,8033,13625,12093,10007,12145,9641,17042
